date	Day.Of.Week	Page.Loads	Unique.Visits	First.Time.Visits	0	1	2	3	4	Returning.Visits
11/6/2014	5	4178	3034	2627	354.145191	25.73562191	1.662670907	38.97023413	-12.89491975	407
11/7/2014	6	3236	2318	1975	356.7008101	-61.04441862	7.419315577	26.89652645	11.51112935	343
11/8/2014	7	2010	1536	1345	359.1026893	-104.1083416	3.525578966	-55.0680871	-7.229849079	191
11/9/2014	1	2901	2141	1849	362.2685673	-68.90398178	-2.585198588	-0.617170716	-0.872713768	292
11/10/2014	2	4754	3325	2885	365.1216482	17.06547448	-7.151886616	55.66859588	10.96796937	440
11/11/2014	3	4417	3203	2793	368.2583515	91.2843594	-3.648791743	-24.30455929	-19.89318861	410
11/12/2014	4	4535	3351	2897	371.6167824	98.29198829	4.6441534	-45.93531555	24.1557325	454
11/13/2014	5	4274	3194	2758	374.8779964	31.32644851	7.215491044	44.28252351	-22.19383707	436
11/14/2014	6	3382	2423	2061	377.9379257	-60.21160215	1.127498918	28.12477748	14.38422511	362
11/15/2014	7	2085	1488	1280	381.0160545	-106.9797007	-5.481366001	-56.35293804	-1.972317941	208
11/16/2014	1	3083	2215	1926	384.3411639	-73.03485278	-5.21898942	-5.310659301	-12.67243637	289
11/17/2014	2	4860	3559	3069	387.5339787	15.22072588	-0.923099881	57.58794985	25.21579304	490
11/18/2014	3	4893	3570	3133	389.7190119	90.40217985	2.567295146	-17.72483019	-31.41375144	437
11/19/2014	4	4866	3544	3056	391.1907877	98.70112289	7.108841153	-46.57483412	30.83433875	488
11/20/2014	5	4584	3357	2899	391.2036407	35.26757673	7.253750301	35.41422618	-22.74483171	458
11/21/2014	6	3914	2750	2361	389.2204271	-50.59385248	-0.391877279	32.96122991	11.86668347	389
11/22/2014	7	2431	1716	1463	385.8772236	-91.42574846	-5.815282384	-41.36891842	2.460520623	253
11/23/2014	1	3157	2369	2082	382.1385878	-56.25874279	-0.714482457	-16.10190364	-15.88419652	287
11/24/2014	2	5045	3615	3146	379.3913112	24.61687272	7.079513512	42.24189501	25.62082271	469
11/25/2014	3	4746	3236	2821	378.8002702	82.72543802	2.080909952	-0.689202797	-31.9835531	415
11/26/2014	4	4314	2919	2513	381.0893542	66.76799378	-14.05488213	-42.37364644	30.16250133	406
11/27/2014	5	3663	2476	2162	386.9072048	-13.29593502	-18.64573215	10.86040978	-24.1430974	314
11/28/2014	6	3270	2268	1931	397.3940891	-93.06358367	-1.338182615	32.39365724	8.691268185	337
11/29/2014	7	2905	1976	1695	409.7931879	-112.0334941	9.634051636	-29.57135164	6.499259434	281
11/30/2014	1	4016	2832	2489	422.698583	-49.34434775	3.081817453	-16.35882967	-17.34906526	343
12/1/2014	2	5266	3877	3317	435.5815257	57.27327417	-2.02112382	39.88300998	20.55785306	560
